Unnamed: 0,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Player_Clean,Salary,Season
,417.0,Garrett Temple,37.0,TOR,SG,27.0,2.0,289.0,9.5,0.502,0.513,0.282,6.7,10.5,8.6,12.5,2.0,0.9,13.8,15.0,0.0,0.2,0.2,0.032,-3.4,-1.2,-4.7,-0.2,,templga01,Garrett Temple,5401000.0,2023-24
,268.0,Garrison Mathews,27.0,ATL,SG,66.0,5.0,992.0,8.9,0.665,0.854,0.186,1.8,8.6,5.1,4.8,1.0,0.7,7.2,11.1,1.4,0.2,1.6,0.077,-2.1,-0.9,-3.0,-0.2,,mathega01,Garrison Mathews,2000000.0,2023-24
,214.0,Gary Harris,29.0,ORL,SG,54.0,27.0,1297.0,9.4,0.587,0.69,0.152,2.2,6.1,4.1,9.1,1.9,1.0,8.9,11.7,1.1,1.5,2.7,0.099,-2.3,1.1,-1.2,0.3,,harriga01,Gary Harris,13000000.0,2023-24
,322.0,Gary Payton II,31.0,GSW,SG,44.0,0.0,680.0,13.9,0.621,0.301,0.126,7.4,10.5,9.0,9.4,2.8,2.4,12.3,13.6,0.9,0.9,1.8,0.125,-1.3,2.2,0.9,0.5,,paytoga02,Gary Payton,8715000.0,2023-24
,134.0,Georges Niang,30.0,CLE,PF,82.0,10.0,1831.0,9.9,0.583,0.627,0.095,1.4,15.5,8.5,7.5,0.8,0.9,9.9,17.6,0.5,2.0,2.4,0.064,-2.5,-0.4,-2.9,-0.4,,niangge01,Georges Niang,0.0,2023-24
,26.0,Giannis Antetokounmpo,29.0,MIL,PF,73.0,73.0,2567.0,29.9,0.649,0.091,0.571,8.6,27.0,17.9,32.7,1.6,2.6,12.7,33.0,9.5,3.7,13.2,0.246,6.7,2.4,9.0,7.2,MVP-4DPOY-9CPOY-12ASNBA1,antetgi01,Giannis Antetokounmpo,45640084.0,2023-24
,276.0,Goga Bitadze,24.0,ORL,C,62.0,33.0,957.0,17.8,0.629,0.067,0.416,13.3,21.9,17.5,11.7,1.7,7.0,15.1,13.3,1.8,1.9,3.7,0.186,-0.7,2.8,2.1,1.0,,bitadgo01,Goga Bitadze,2066585.0,2023-24
,222.0,Gordon Hayward,33.0,2TM,SF,51.0,28.0,1245.0,12.8,0.548,0.223,0.298,3.4,13.0,8.1,18.3,1.6,1.0,12.6,18.4,0.6,0.9,1.5,0.058,-1.6,-0.5,-2.1,0.0,,haywago01,Gordon Hayward,31500000.0,2023-24
,76.0,Grant Williams,25.0,2TM,PF,76.0,43.0,2130.0,10.6,0.588,0.555,0.231,4.4,12.2,8.3,11.3,1.0,1.6,14.1,15.9,1.3,1.3,2.6,0.059,-1.9,-0.7,-2.6,-0.3,,willigr01,Grant Williams,6235494.0,2023-24
,29.0,Grayson Allen,28.0,PHO,SG,75.0,74.0,2513.0,13.8,0.679,0.652,0.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,0.132,1.1,0.1,1.3,2.0,,allengr01,Grayson Allen,8925000.0,2023-24
